ID,Time (hr),Solid Loading,Area,succinic_acid,lactic_acid,formic_acid,acetic_acid,malic_acid,citric_acid
zn_5_0,0,5,0,0,0,0,0,0,
zn_5_6,6,5,1085946,3.335815287,0.246,0.27,1.173,0.4071195876,
zn_5_12,12,5,855741,2.602678344,0.237,0.279,1.172,0.4293113402,
zn_5_18,18,5,2476429,7.764105096,,0.271,1.17,0.4063484536,
zn_5_24,24,5,2586266,8.113904459,,0.269,1.153,0.4089731959,
zn_5_36,36,5,2751715,8.640812102,,0.299,1.192,0.4242659794,
zn_5_42,42,5,2789671,8.761691083,,0.297,1.183,0.4123979381,
zn_5_48,48,5,2808018,8.820121019,,0.306,1.195,0.417057732,
zn_5_60,60,5,2751526,8.640210191,,0.288,1.161,0.4112701031,
zn_5_66,66,5,2783258,8.741267516,,0.295,1.175,0.4123154639,
zn_5_72,72,5,2696743,8.465742038,,0.301,1.186,0.4188329897,
zn_10_0,0,10,0,0,0,0,0,0,
zn_10_6,6,10,2801249,8.798563694,0.253,0.436,1.363,0.3131030928,
zn_10_12,12,10,2764960,8.682993631,,0.581,1.45,0.4139773196,
zn_10_18,18,10,3402870,10.71455414,,0.598,1.456,0.4095814433,
zn_10_24,24,10,4066755,12.82883758,,0.598,1.445,0.3973876289,
zn_10_36,36,10,3989722,12.58350955,,0.63,1.472,0.4136927835,
zn_10_42,42,10,4064532,12.82175796,,0.608,1.477,0.4177876289,
zn_10_48,48,10,4159921,13.12554459,,0.628,1.472,0.4037731959,
zn_10_60,60,10,4356663,13.75211146,,0.588,1.465,0.4098164948,
zn_10_66,66,10,4369932,13.79436943,,0.591,1.448,0.391156701,
zn_10_72,72,10,4122756,13.00718471,,0.59,1.466,0.389942268,
zn_15_0,0,15,0,0,0,0,0,0,0
zn_15_6,6,15,116686,0.249,1.206,0.689,1.642,0.4411876289,
zn_15_12,12,15,1118926,3.440847134,1.299,0.682,1.635,0.3736185567,
zn_15_18,18,15,1116946,3.434541401,1.3,0.647,1.638,,1.884404762
zn_15_24,24,15,979124,2.995617834,1.299,0.609,1.636,,1.920642857
zn_15_36,36,15,993722,3.04210828,1.357,0.641,1.639,,1.734387302
zn_15_42,42,15,993982,3.042936306,1.365,0.634,1.637,,1.875111111
zn_15_48,48,15,1166851,3.593474522,1.393,0.612,1.644,,2.303860317
zn_15_60,60,15,1024971,3.141627389,1.423,0.605,1.632,,2.28195873
zn_15_66,66,15,1159960,3.571528662,1.39,0.63,1.62,,2.214960317
zn_15_72,72,15,1025386,3.142949045,1.416,0.593,1.632,,
zn_mg_0,0,10,0,0,0,0,0,0,0
zn_mg_6,6,10,1059740,3.252356688,1.476,0.516,1.459,,2.395666667
zn_mg_12,12,10,1084562,3.331407643,1.55,0.382,1.359,,2.634168254
zn_mg_18,18,10,1062568,3.261363057,1.546,0.389,1.363,,2.026004762
zn_mg_24,24,10,1070796,3.287566879,1.565,0.394,1.374,,1.147322222
zn_mg_36,36,10,1083416,3.327757962,1.612,0.392,1.369,0.1763505155,1.137042857
zn_mg_42,42,10,1082832,3.325898089,1.624,0.39,1.369,0.1494412371,1.278966667
zn_mg_48,48,10,1108153,3.406538217,1.657,0.393,1.392,0.1444804124,1.43687619
zn_mg_60,60,10,1091460,3.353375796,1.644,0.386,1.378,0.2016515464,1.33347619
zn_mg_66,66,10,1070227,3.285754777,1.627,0.381,1.35,0.1483670103,1.331485714
zn_mg_72,72,10,1025386,3.142949045,1.655,0.387,1.38,0.1432824742,1.342931746
zn_mg_0,0,10,0,0,0,0,0,0,
xy_6,6,10,1339101,4.142041401,0.155,,6.714,0.2482742268,
xy_12,12,10,1615656,5.022789809,0.612,,1.988,0.1994329897,
xy_18,18,10,2044846,6.389636943,0.556,,1.155,0.1868659794,
xy_24,24,10,2031912,6.34844586,0.549,,1.075,0.1889443299,
xy_36,36,10,2310798,7.236617834,0.597,,1.004,0.1778309278,
xy_42,42,10,2245199,7.027703822,0.618,,1.007,0.198843299,
xy_48,48,10,2068737,6.46572293,0.636,,1.015,0.1919092784,
xy_60,60,10,1753463,5.461665605,0.692,,1.066,0.1881257732,
xy_66,66,10,1531846,4.755878981,0.753,,1.393,0.194628866,
xy_72,72,10,892775,2.720621019,0.758,,1.025,0.1700412371,
